"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.076924002E0,-2.098239422E0,-1.626441717E0,-8.745918274E0,9.139967603E0
2.086924835E0,-1.758041501E0,-1.374254704E0,-9.240954399E0,9.506551642E0
2.096924835E0,-1.789322138E0,-1.625283003E0,-9.185334206E0,9.498083124E0
2.106924835E0,-1.961575031E0,-1.793246150E0,-9.418874741E0,9.786659784E0
2.116924835E0,-1.933547854E0,-1.960090637E0,-9.471183777E0,9.863259337E0
2.126924868E0,-1.906488299E0,-2.021536350E0,-9.547021866E0,9.943185272E0
2.136924868E0,-1.865857601E0,-2.221549511E0,-9.630779266E0,1.005826109E1
2.146924034E0,-1.841812491E0,-2.334829807E0,-9.670142174E0,1.011708224E1
2.156924034E0,-1.836966753E0,-2.476730824E0,-9.703848839E0,1.018200986E1
2.166924034E0,-1.811841488E0,-2.618401051E0,-9.672387123E0,1.018301853E1
2.176924000E0,-1.843514919E0,-2.766036987E0,-9.669171333E0,1.022459692E1
2.186923133E0,-1.832568645E0,-2.906255484E0,-9.624940872E0,1.021979039E1
2.196923133E0,-1.808330417E0,-3.017742395E0,-9.578288078E0,1.020394191E1
2.206923133E0,-1.792250156E0,-3.148157120E0,-9.524491310E0,1.019014174E1
2.216923133E0,-1.729872823E0,-3.282399416E0,-9.492378235E0,1.019175404E1
2.226923133E0,-1.685316563E0,-3.392231941E0,-9.429162025E0,1.016152675E1
2.236923133E0,-1.615894794E0,-3.484734535E0,-9.385010719E0,1.014065663E1
2.246923966E0,-1.548489332E0,-3.614848852E0,-9.319089890E0,1.011485975E1
2.256923966E0,-1.432517052E0,-3.711667776E0,-9.257308960E0,1.007602858E1
2.266923966E0,-1.354684711E0,-3.818622828E0,-9.187311172E0,1.004110241E1
2.276923966E0,-1.236683726E0,-3.930988550E0,-9.135410309E0,1.002186505E1
2.286923932E0,-1.109863043E0,-4.020995140E0,-9.067098618E0,9.980604953E0
2.296923932E0,-9.991006255E-1,-4.117197990E0,-8.991705894E0,9.939833814E0
2.306923932E0,-8.692959547E-1,-4.229007244E0,-8.954507828E0,9.940995331E0
2.316923932E0,-7.400152087E-1,-4.332872868E0,-8.883269310E0,9.911300794E0
2.326923932E0,-6.019597650E-1,-4.443456650E0,-8.813529015E0,9.888627622E0
2.336923932E0,-4.444253743E-1,-4.538615704E0,-8.757305145E0,9.873547479E0
2.346923598E0,-3.071004152E-1,-4.639197350E0,-8.678898811E0,9.845798459E0
2.356923598E0,-1.591855586E-1,-4.755146980E0,-8.601993561E0,9.830109667E0
2.366923598E0,-1.930236816E-3,-4.852338791E0,-8.519710541E0,9.804624581E0
2.376923631E0,1.300146282E-1,-4.961585045E0,-8.449069023E0,9.799030427E0
2.386922797E0,1.177433848E0,-3.271345615E0,-8.064023972E0,8.781602087E0
2.396922797E0,-3.886111450E1,1.235382938E1,5.054738998E1,6.494491477E1
2.406922797E0,-3.212821198E1,3.086386299E1,6.910361481E1,8.221988581E1
2.416922797E0,-1.016783953E0,5.407532120E1,6.627751160E1,8.554462435E1
2.426922763E0,-6.611527205E-1,1.319475365E1,4.428649139E1,4.621506212E1
2.436922763E0,-3.336534500E0,-1.534772396E0,3.874945641E-1,3.692985353E0
2.446923596E0,-2.547655821E0,-1.537852383E1,-1.302227402E1,2.031179869E1
2.456923596E0,-4.211943150E0,-1.021354866E1,-2.100509644E1,2.373333347E1
2.466923596E0,-9.684572220E0,-9.411522865E0,-2.312017250E1,2.677517653E1
2.476923596E0,-1.744207382E1,-3.477853298E0,-2.931795311E1,3.429087017E1
2.486924462E0,-1.991248894E1,-3.148155212E0,-1.711857796E1,2.644737810E1
2.496924462E0,-2.204853630E1,-4.635319710E0,-8.892240524E0,2.422181008E1
2.506924495E0,-2.399254036E1,-4.934627056E0,-6.734232426E0,2.540359076E1
2.516924495E0,-2.493816376E1,-6.298628807E0,-6.610112667E0,2.655707676E1
2.526924495E0,-2.964797974E1,-1.371915102E0,8.108430862E0,3.076737728E1
2.536924495E0,-2.226118469E1,-6.913415909E0,-4.907310009E0,2.382094362E1
2.546924495E0,-1.810206223E1,-4.543576241E0,-7.363629818E0,2.006369323E1
2.556924495E0,-2.260984039E1,-4.591170311E0,-6.878396988E0,2.407480161E1
2.566924495E0,-5.966675186E1,3.149161339E0,8.556177139E0,6.035931297E1
2.576924495E0,-4.469308090E1,1.417746258E1,-2.535650635E1,5.330501233E1
2.586923628E0,-1.467533302E1,1.103713226E1,-2.050025368E1,2.752170214E1
2.596923628E0,-1.577408314E0,8.866059303E0,-1.384267616E1,1.651408211E1
2.606923628E0,4.700146675E0,-1.469832420E1,2.881923676E0,1.569833103E1
2.616923628E0,1.846252060E1,-1.225290298E1,1.655115509E1,2.765753122E1
2.626923628E0,1.150301361E1,-3.733017921E0,-2.247128487E-1,1.209567033E1
2.636923628E0,6.805110931E0,4.601612091E0,-8.877386093E0,1.209513755E1
2.646923961E0,5.738676071E0,7.053924561E0,-8.980512619E0,1.278044841E1
2.656923961E0,7.276849747E0,3.046874523E0,-6.286605835E0,1.008748727E1
2.666923994E0,1.012958336E1,2.028180122E0,-3.909767389E0,1.104573468E1
2.676923960E0,1.092988586E1,2.849717140E-1,-3.011765957E0,1.134082660E1
2.686924793E0,1.132790852E1,9.269738197E-2,-2.640406609E0,1.163193239E1
2.696924793E0,1.034578133E1,2.892758846E-1,-3.628846884E0,1.096756133E1
2.706924793E0,9.306612015E0,9.640135765E-1,-4.557221889E0,1.040723886E1
