"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.462031667E0,2.260684137E0,-3.154031246E-1,-1.373694559E0,2.664058678E0
2.471984667E0,2.432087955E0,-5.034324038E-1,-9.765019709E-1,2.668717314E0
2.481937667E0,2.671205161E0,-6.126013087E-1,-5.539874303E-1,2.795982734E0
2.491890667E0,2.922140175E0,-4.586141536E-1,-2.074884474E-1,2.965178174E0
2.501843667E0,3.094426630E0,-1.418221691E-1,-1.882978857E-1,3.103392626E0
2.511796667E0,3.007266279E0,1.861428212E-1,-5.467649496E-1,3.062229831E0
2.521749667E0,2.660730459E0,3.932539771E-1,-1.255580218E0,2.968268342E0
2.531702667E0,2.383945490E0,4.250768635E-1,-1.791010340E0,3.011910436E0
2.541655917E0,2.357416380E0,4.211134015E-1,-1.715957235E0,2.946057996E0
2.551608917E0,2.594155523E0,4.670796794E-1,-1.108032748E0,2.859290625E0
2.561561917E0,2.976696159E0,3.786181039E-1,-2.031878203E-1,3.007549997E0
2.571514917E0,3.489564507E0,2.246216664E-1,8.325505382E-1,3.594531366E0
2.581467917E0,3.669917196E0,1.450248353E-2,1.244956412E0,3.875360501E0
2.591420917E0,3.857893192E0,-1.665545026E-1,1.322902136E0,4.081807240E0
2.601373917E0,3.969694002E0,-4.279427301E-1,1.841095836E0,4.396730527E0
2.611326917E0,3.832342322E0,-5.004262771E-1,1.817235103E0,4.270786526E0
2.621279917E0,3.417649602E0,-3.468720353E-1,1.575574942E0,3.779296946E0
2.631233917E0,3.032499646E0,-1.443935553E-1,1.721595705E0,3.490099622E0
2.641186917E0,2.746434268E0,-3.996696152E-2,1.837407997E0,3.304628072E0
2.651139917E0,2.634523239E0,-2.953012012E-2,2.082836103E0,3.358540003E0
2.661092917E0,2.719143266E0,-6.367186613E-2,2.745524442E0,3.864673165E0
2.671045917E0,2.694468016E0,-1.809957366E-1,3.500948451E0,4.421488144E0
2.680998917E0,2.586937428E0,-3.493818064E-1,3.830025070E0,4.635019411E0
2.690951917E0,2.229040175E0,-6.782502647E-1,3.976727033E0,4.609013064E0
2.700904917E0,1.876033826E0,-9.672251440E-1,3.678007988E0,4.240609645E0
2.710857917E0,1.942028279E0,-8.896230906E-1,3.220501955E0,3.864522729E0
2.720810917E0,2.347774906E0,-6.165225247E-1,2.935265420E0,3.808927686E0
2.730763917E0,2.556193938E0,-7.262169481E-1,2.995886428E0,4.004604100E0
2.740716917E0,2.181166974E0,-1.055206371E0,3.062682681E0,3.905249680E0
2.750669917E0,1.716257197E0,-1.092195930E0,2.992959897E0,3.618872706E0
2.760622917E0,1.208130210E0,-9.417700215E-1,2.957095415E0,3.330303690E0
2.770575917E0,8.020422520E-1,-6.439766639E-1,2.807275132E0,2.989777815E0
2.780528917E0,5.618374635E-1,-3.785646750E-1,2.559776527E0,2.647910198E0
2.790481917E0,3.440947906E-1,-1.650853166E-1,2.351953619E0,2.382716981E0
2.800434917E0,7.024402689E-2,1.798091903E-1,2.068156083E0,2.077145915E0
2.810387917E0,-1.119883592E-1,2.908090047E-1,1.668020006E0,1.696880082E0
2.820340917E0,-4.536019204E-1,7.731334716E-3,1.453990279E0,1.523122519E0
2.830293917E0,-1.045297387E0,-2.944795943E-1,1.630441121E0,1.959005642E0
2.840246917E0,-1.770318360E0,-4.997803060E-1,1.969020050E0,2.694595964E0
2.850199917E0,-2.409781266E0,-5.783140767E-1,2.397192357E0,3.447901407E0
2.860152917E0,-2.718104801E0,-5.557551533E-1,2.771659741E0,3.921613854E0
2.870105917E0,-2.768112236E0,-5.505814638E-1,2.954723200E0,4.086070788E0
2.880058917E0,-2.708120388E0,-5.970622235E-1,2.936403873E0,4.038919043E0
2.890011917E0,-2.718797404E0,-5.184966220E-1,2.212993369E0,3.543732174E0
2.899964917E0,-2.741167096E0,-2.235060542E-1,1.710402964E0,3.238739000E0
2.909917917E0,-2.761429453E0,1.782217809E-1,1.172466726E0,3.005317595E0
2.919870917E0,-2.890331907E0,2.169425911E-1,1.088004280E0,3.095938619E0
